city,country,lon,lat,temp,max_temp,min_temp,humidity,cloudiness,WindSpeed,Date
Borogontsy,RU,131.17,62.67,33.81,33.81,33.81,78,12,4.16,1538180943
Millinocket,US,-68.71,45.66,48.54,48.92,48.02,86,1,2.48,1538178960
Te Anau,NZ,167.72,-45.41,50.19,50.19,50.19,69,36,18.25,1538180943
Hofn,IS,-15.21,64.25,45.69,45.69,45.69,96,0,33.91,1538180943
Copiapo,CL,-70.33,-27.37,55.4,55.4,55.4,82,20,9.17,1538179200
Goderich,CA,-81.71,43.74,56.67,56.67,56.67,78,92,15.46,1538180943
Nikolskoye,RU,30.79,59.7,37.4,37.4,37.4,74,0,8.95,1538179200
Nicoya,CR,-85.45,10.15,77,77,77,94,75,4.7,1538179200
Sabang,PH,123.58,13.72,79.53,79.53,79.53,100,32,5.17,1538180944
Waipawa,NZ,176.59,-39.94,53.43,53.43,53.43,83,12,11.65,1538180944
Cabedelo,BR,-34.84,-6.97,75.2,75.2,75.2,83,20,4.7,1538179200
Alta Floresta,BR,-56.08,-9.87,75.3,75.3,75.3,93,0,1.03,1538180944
Aklavik,CA,-135.01,68.22,32.18,33.8,30.2,74,75,6.93,1538179200
Baghmara,IN,86.21,23.8,76.56,76.56,76.56,82,8,2.71,1538180945
Nagorsk,RU,50.8,59.32,40.02,40.02,40.02,97,92,3.6,1538180945
Kaitangata,NZ,169.85,-46.28,59.19,59.19,59.19,69,32,11.65,1538180945
Kavieng,PG,150.8,-2.57,85.11,85.11,85.11,100,12,8.63,1538180945
Bud,NO,6.91,62.91,44.56,46.4,42.8,70,92,13.87,1538178600
Simao,CN,100.79,22.76,64.68,64.68,64.68,99,92,1.25,1538180945
Kruisfontein,ZA,24.73,-34,60.45,60.45,60.45,84,88,23.85,1538180945
Mogadishu,SO,45.34,2.04,76.83,76.83,76.83,100,76,10.2,1538180946
Salalah,OM,54.1,17.01,78.8,78.8,78.8,74,75,1.12,1538178600
Magadi,IN,77.22,12.96,71.6,71.6,71.6,100,40,5.82,1538179200
Rome,IT,12.48,41.89,59.16,60.8,57.2,62,0,5.82,1538178600
Saskylakh,RU,114.09,71.97,31.74,31.74,31.74,94,92,12.21,1538180946
Kieta,PG,155.63,-6.22,76.65,76.65,76.65,100,92,4.38,1538180947
South Hadley,US,-72.57,42.26,57.33,59,55.04,100,40,2.15,1538179800
Buraydah,SA,43.97,26.33,78.8,78.8,78.8,27,0,3.36,1538179200
Plouzane,FR,-4.62,48.38,54.5,55.4,53.6,81,0,11.41,1538179200
Malibu,US,-84.48,33.61,73.72,77,70.16,79,90,4.7,1538178960
Leshukonskoye,RU,45.76,64.9,40.92,40.92,40.92,99,92,3.94,1538180947
Phalombe,MW,35.65,-15.81,65.4,65.4,65.4,71,12,4.61,1538180947
Yumen,CN,97.04,40.29,42.81,42.81,42.81,32,0,10.54,1538180947
Oranjemund,ZA,16.43,-28.55,57.84,57.84,57.84,93,0,27.42,1538180948
Faanui,PF,-151.75,-16.48,77.19,77.19,77.19,100,24,5.61,1538180680
Pacifica,US,-122.49,37.61,67.8,71.96,62.6,72,90,5.82,1538179560
